Journée;Coach Local;Équipe Local;Roster Local;Coach Visiteur;Équipe Visiteur;Roster Visiteur
Journée 1;Alice;Eagles;Humans;Bob;Crushers;Orcs
Journée 1;Charlie;Shadows;Dark Elves;Henry;Bears;Norse
Journée 1;Diana;Thunders;Dwarves;Grace;Hawks;High Elves
Journée 1;Eve;Dragons;Lizardmen;Frank;Wolves;Chaos
Journée 2;Alice;Eagles;Humans;Henry;Bears;Norse
Journée 2;Bob;Crushers;Orcs;Grace;Hawks;High Elves
Journée 2;Charlie;Shadows;Dark Elves;Frank;Wolves;Chaos
Journée 2;Diana;Thunders;Dwarves;Eve;Dragons;Lizardmen
Journée 3;Alice;Eagles;Humans;Grace;Hawks;High Elves
Journée 3;Frank;Wolves;Chaos;Henry;Bears;Norse
Journée 3;Bob;Crushers;Orcs;Eve;Dragons;Lizardmen
Journée 3;Charlie;Shadows;Dark Elves;Diana;Thunders;Dwarves
